year,quarter,year_quarter,kids,weaners,growers,does,bucks,total_population,meat_production,milk_production,feed_intake
2018,,,"4,657,700","2,587,611","2,587,611","14,490,623","1,552,566","25,876,113","42,794,548.95","255,034,964.80",
2019,,,"6,238,434","3,465,796","3,465,796","19,408,462","2,079,478","34,657,969","57,318,205.03","341,588,931.20",
2020,,,"6,364,561","3,535,867","3,535,867","19,800,857","2,121,520","35,358,674","58,477,045.98","348,495,083.20",
2021,,,"5,962,178","3,312,321","3,312,321","18,548,999","1,987,392","33,123,213","54,779,982.43","326,462,382.40",
2022,,,"5,393,709","2,996,505","2,996,505","16,780,430","1,797,903","29,965,055","49,556,945.85","295,335,568.00",
2023,,,"6,189,479","3,438,599","3,438,599","19,256,158","2,063,159","34,385,998","56,868,405.44","338,908,380.80",
2024,,,6799793,3777663,3777663,21154914,2266597,37776633,"62,475,921.47","372,326,486.40",
2025,1,2025 Q1,"7,504,611","3,527,715","5,292,374","21,140,028","2,505,170","37,776,630",12890496.64,93016121.94,62336046.93
2025,2,2025 Q2,"8,006,608","3,567,649","6,301,874","21,036,878","2,613,540","39,969,899",20684794.83,92562264.46,63944721.18
2025,3,2025 Q3,"7,483,396","3,734,878","7,198,855","21,284,042","2,742,172","41,526,548",15464084.34,93649786.99,65549203.69
2025,4,2025 Q4,"7,732,511","3,672,947","7,757,407","21,562,723","2,794,452","42,443,343",17271045.70,94875981.03,67118132.10
2026,1,2026 Q1,"7,513,152","3,716,936","8,239,083","22,031,237","2,883,181","43,520,040",13928792.33,96937441.87,68762337.37
2026,2,2026 Q2,"7,799,491","3,653,536","8,393,017","22,230,817","2,897,326","44,383,588",22248900.33,97815594.91,69592625.81
2026,3,2026 Q3,"7,309,595","3,717,085","8,648,762","22,663,290","2,967,530","44,974,187",16566272.49,99718475.10,70658124.51
2026,4,2026 Q4,"7,632,521","3,615,425","8,723,345","23,031,915","2,980,847","45,306,262",18438565.07,101340427.35,71761786.87
2027,1,2027 Q1,"7,473,537","3,660,196","8,875,735","23,538,728","3,045,388","45,984,053",14818151.14,103570404.82,73057723.59
2027,2,2027 Q2,"7,809,902","3,614,066","8,799,884","23,717,425","3,040,273","46,593,583",23590394.93,104356669.44,73548816.99
2027,3,2027 Q3,"7,337,935","3,698,171","8,917,908","24,120,460","3,099,200","46,981,550",17507248.75,106130024.15,74369602.34
2027,4,2027 Q4,"7,675,394","3,611,195","8,906,166","24,442,953","3,103,030","47,173,674",19428585.29,107548991.07,75259379.02
2028,1,2028 Q1,"7,512,735","3,666,402","9,007,635","24,905,411","3,161,019","47,738,737",15567349.78,109583808.41,76383019.38
2028,2,2028 Q2,"7,851,828","3,624,670","8,897,061","25,018,995","3,147,989","48,253,202",24714689.43,110083579.52,76679085.09
2028,3,2028 Q3,"7,370,223","3,711,433","8,994,443","25,369,034","3,201,524","48,540,544",18291479.58,111623750.07,77344446.44
2028,4,2028 Q4,"7,705,351","3,623,490","8,967,337","25,635,531","3,199,459","48,646,657",20249532.38,112796338.50,78082494.44
2029,1,2029 Q1,"7,533,177","3,677,607","9,057,821","26,049,836","3,252,786","49,131,169",16185518.59,114619279.17,79074052.01
2029,2,2029 Q2,"7,871,489","3,633,184","8,936,744","26,101,579","3,233,568","49,571,228",25638258.25,114846946.77,79212316.49
2029,3,2029 Q3,"7,382,611","3,718,488","9,026,366","26,401,935","3,282,667","49,776,564",18932882.83,116168512.05,79748241.05
2029,4,2029 Q4,"7,716,020","3,628,216","8,992,047","26,617,520","3,275,770","49,812,067",20918377.45,117117090.05,80357863.95
2030,1,2030 Q1,"7,537,430","3,680,778","9,076,588","26,988,175","3,325,194","50,229,574",16687219.99,118747970.89,81236769.82
2030,2,2030 Q2,"7,876,045","3,634,232","8,949,498","26,985,706","3,300,916","50,608,165",26385197.86,118737105.08,81242166.70
2030,3,2030 Q3,"7,383,093","3,718,596","9,034,498","27,242,311","3,346,353","50,746,397",19449836.20,119866169.42,81669036.32
2030,4,2030 Q4,"7,715,890","3,627,026","8,995,996","27,413,618","3,335,557","50,724,851",21455807.91,120619918.87,82170956.31
2031,1,2031 Q1,"7,533,240","3,678,791","9,077,105","27,746,289","3,381,804","51,088,088",17089125.75,122083672.58,82955626.15
2031,2,2031 Q2,"7,872,783","3,631,066","8,946,766","27,697,718","3,353,481","51,417,230",26981914.04,121869959.85,82851492.26
2031,3,2031 Q3,"7,377,714","3,715,073","9,029,278","27,917,015","3,395,974","51,501,813",19861704.27,122834865.61,83188576.45
2031,4,2031 Q4,"7,710,509","3,622,945","8,988,675","28,050,921","3,382,088","51,435,054",21882966.55,123424054.41,83602207.31
2032,1,2032 Q1,"7,525,309","3,674,416","9,068,078","28,351,522","3,425,801","51,755,139",17407807.90,124746697.44,84309795.72
2032,2,2032 Q2,"7,866,012","3,626,104","8,936,296","28,264,686","3,394,288","52,045,126",27454048.65,124364618.82,84117021.66
2032,3,2032 Q3,"7,369,971","3,710,085","9,017,706","28,452,969","3,434,448","52,087,386",20186894.85,125193063.03,84381514.13
2032,4,2032 Q4,"7,703,070","3,617,817","8,976,295","28,556,011","3,418,141","51,985,180",22219600.35,125646447.12,84723986.12
2033,1,2033 Q1,"7,516,280","3,669,268","9,055,053","28,830,161","3,459,855","52,271,333",17658488.68,126852707.89,85369548.15
2033,2,2033 Q2,"7,858,164","3,620,712","8,922,888","28,712,161","3,425,849","52,530,617",27824816.22,126333508.38,85106003.06
2033,3,2033 Q3,"7,361,792","3,704,835","9,004,004","28,875,163","3,464,178","52,539,774",20441848.10,127050715.76,85312579.46
2033,4,2033 Q4,"7,695,318","3,612,644","8,962,512","28,953,182","3,445,986","52,409,972",22483142.74,127394001.38,85598410.33
2034,1,2034 Q1,"7,507,545","3,664,212","9,041,217","29,205,901","3,486,137","52,669,642",17854458.57,128505966.28,86194660.43
2034,2,2034 Q2,"7,850,517","3,615,601","8,909,231","29,062,887","3,450,193","52,905,013",28114288.36,127876702.80,85875178.66
2034,3,2034 Q3,"7,354,151","3,699,935","8,990,483","29,205,585","3,487,095","52,888,430",20640646.78,128504574.00,86036004.34
2034,4,2034 Q4,"7,688,129","3,607,918","8,949,278","29,263,591","3,467,442","52,737,249",22688408.41,128759800.78,86277169.77